City,Hotel Name,Type,Price Range,Stars,Amenities
Colombo,Cinnamon Grand Colombo,Hotel,Luxury,5,"Pool, Spa, Gym, Restaurant"
Colombo,Galle Face Hotel,Hotel,Luxury,5,"Beach Access, Pool, Restaurant"
Colombo,Hilton Colombo,Hotel,Luxury,5,"Pool, Gym, Restaurant"
Colombo,City Rest Fort,Guest House,Budget,3,"WiFi, Breakfast"
Colombo,Colombo Court Hotel,Hotel,Mid-range,4,"Pool, Restaurant"
Kandy,Earl's Regency Hotel,Hotel,Luxury,5,"Pool, Spa, Restaurant"
Kandy,Cinnamon Citadel Kandy,Hotel,Luxury,5,"River View, Spa, Restaurant"
Kandy,Hotel Topaz,Hotel,Mid-range,4,"City View, Restaurant"
Kandy,Kandy Guest House,Guest House,Budget,3,"WiFi, Breakfast"
Galle,Jetwing Lighthouse,Hotel,Luxury,5,"Beach Access, Pool, Spa"
Galle,Amangalla,Hotel,Luxury,5,"Pool, Spa, Restaurant"
Galle,Galle Fort Hotel,Hotel,Mid-range,4,"Heritage, Restaurant"
Galle,Pedlar's Inn,Guest House,Budget,3,"WiFi, Breakfast"
Negombo,Jetwing Beach,Hotel,Luxury,5,"Beach Access, Pool, Restaurant"
Negombo,Jetwing Sea,Hotel,Mid-range,4,"Beach Access, Pool"
Negombo,Airport Guest House,Guest House,Budget,3,"WiFi, Airport Shuttle"
Ella,98 Acres Resort,Hotel,Luxury,5,"Mountain View, Spa, Restaurant"
Ella,Ella Jungle Resort,Hotel,Mid-range,4,"Nature View, Restaurant"
Ella,Ella Mount Heaven,Guest House,Budget,3,"Mountain View, WiFi"
Ella,Ella Backpackers,Hostel,Budget,3,"Shared Kitchen, WiFi"
Nuwara Eliya,Grand Hotel,Hotel,Luxury,5,"Heritage, Golf, Restaurant"
Nuwara Eliya,The Blackpool Hotel,Hotel,Mid-range,4,"Garden, Restaurant"
Nuwara Eliya,Hill Club,Hotel,Luxury,5,"Heritage, Golf"
Mirissa,Paradise Beach Club,Hotel,Luxury,5,"Beach Access, Pool, Spa"
Mirissa,Mirissa Beach Villa,Guest House,Mid-range,4,"Beach Access, Restaurant"
Mirissa,Mirissa Backpackers,Hostel,Budget,3,"Beach Access, Shared Kitchen"
Arugam Bay,Jetwing Surf,Hotel,Luxury,5,"Beach Access, Pool, Surf Shop"
Arugam Bay,Stardust Beach Hotel,Hotel,Mid-range,4,"Beach Access, Restaurant"
Arugam Bay,Arugam Bay Surf Resort,Guest House,Budget,3,"Beach Access, Surf Lessons"
